draw_date,num1,num2,num3,num4,num5,special
2015-10-04,17,22,26,36,40,
2015-10-05,3,12,23,36,42,
2015-10-06,1,7,17,25,34,
2015-10-07,9,14,23,38,39,
2015-10-08,11,18,19,24,35,
2015-10-09,14,16,21,22,32,
2015-10-10,5,9,14,35,41,
2015-10-11,16,18,29,30,34,
2015-10-12,11,12,13,34,40,
2015-10-13,17,18,23,26,39,
2015-10-14,16,17,25,33,40,
2015-10-15,3,5,27,29,41,
2015-10-16,6,11,18,33,39,
2015-10-17,4,13,14,20,32,
2015-10-18,1,11,19,32,41,
2015-10-19,4,15,19,34,39,
2015-10-20,17,30,34,40,42,
2015-10-21,3,6,18,23,37,
2015-10-22,3,15,21,38,41,
2015-10-23,24,28,30,41,42,
2015-10-24,8,15,21,30,40,
2015-10-25,8,22,31,36,38,
2015-10-26,14,28,33,34,42,
2015-10-27,11,27,31,41,42,
2015-10-28,12,18,29,32,36,
2015-10-29,10,15,17,20,22,
2015-10-30,2,3,8,22,37,
2015-10-31,7,14,30,36,42,
2015-11-01,3,6,8,27,41,
2015-11-02,4,10,23,26,36,
2015-11-03,3,8,11,30,31,
2015-11-04,15,17,21,22,26,
2015-11-05,2,14,21,22,32,
2015-11-06,19,22,34,35,37,
2015-11-07,10,21,23,41,42,
2015-11-08,3,9,20,23,39,
2015-11-09,4,7,27,36,37,
2015-11-10,2,7,17,20,38,
2015-11-11,10,11,17,24,32,
2015-11-12,2,10,11,13,18,
2015-11-13,6,13,17,22,31,
2015-11-14,5,15,18,27,33,
2015-11-15,10,20,23,27,39,
2015-11-16,2,14,22,34,40,
2015-11-17,22,23,25,26,42,
2015-11-18,9,21,23,26,34,
2015-11-19,18,32,36,39,41,
2015-11-20,9,18,29,30,39,
2015-11-21,14,23,30,39,40,
2015-11-22,5,11,18,21,37,
2015-11-23,25,29,35,37,41,
2015-11-24,18,20,37,38,41,
2015-11-25,4,12,24,28,35,
2015-11-26,5,12,22,26,39,
2015-11-27,20,27,32,35,42,
2015-11-28,20,24,25,30,31,
2015-11-29,1,11,16,17,25,
2015-11-30,11,21,27,28,29,
2015-12-01,2,22,25,29,33,
2015-12-02,6,14,20,33,36,
2015-12-03,3,12,16,35,41,
2015-12-04,11,15,37,38,39,
2015-12-05,9,14,22,25,29,
2015-12-06,6,13,22,25,35,
2015-12-07,8,15,22,35,41,
2015-12-08,3,16,20,26,31,
2015-12-09,8,17,18,22,24,
2015-12-10,2,6,11,22,33,
2015-12-11,4,6,22,26,32,
2015-12-12,6,9,18,29,38,
2015-12-13,5,17,23,32,39,
2015-12-14,2,27,30,38,39,
2015-12-15,1,13,14,17,24,
2015-12-16,15,17,25,26,37,
2015-12-17,1,7,20,26,41,
2015-12-18,8,22,28,30,42,
2015-12-19,6,7,15,18,32,
2015-12-20,13,21,24,32,42,
2015-12-21,2,7,10,25,40,
2015-12-22,12,15,19,22,28,
2015-12-23,1,9,19,33,41,
2015-12-24,2,11,27,34,38,
2015-12-25,3,6,19,25,30,
2015-12-26,5,8,25,28,30,
2015-12-27,5,25,28,30,41,
2015-12-28,4,18,30,34,35,
2015-12-29,1,11,12,30,40,
2015-12-30,10,15,32,33,34,
2015-12-31,2,9,18,20,31,
2016-01-01,2,5,19,20,24,
2016-01-02,5,12,19,29,33,
2016-01-03,6,7,15,18,33,
2016-01-04,1,7,19,22,26,
2016-01-05,8,16,34,37,38,
2016-01-06,9,10,24,37,42,
2016-01-07,2,8,10,12,26,
2016-01-08,7,19,28,29,30,
2016-01-09,8,15,23,30,40,
2016-01-10,2,26,29,33,42,
2016-01-11,5,17,19,27,29,
2016-01-12,10,11,15,31,40,
2016-01-13,1,10,18,25,30,
2016-01-14,3,4,25,34,36,
2016-01-15,7,9,14,15,31,
2016-01-16,11,16,30,38,42,
2016-01-17,8,13,15,25,32,
2016-01-18,7,20,25,29,35,
2016-01-19,3,5,29,34,37,
2016-01-20,8,11,15,22,35,
2016-01-21,1,2,20,38,39,
2016-01-22,3,19,20,29,31,
2016-01-23,6,8,18,21,26,
2016-01-24,1,2,16,23,37,
2016-01-25,1,6,7,35,42,
2016-01-26,1,9,28,29,42,
2016-01-27,7,17,36,39,41,
2016-01-28,1,5,7,12,32,
2016-01-29,12,24,26,30,37,
2016-01-30,15,23,24,30,33,
2016-01-31,11,12,16,19,34,
2016-02-01,1,9,14,28,37,
2016-02-02,2,5,9,26,37,
2016-02-03,5,9,10,26,31,
2016-02-04,2,10,20,31,37,
2016-02-05,3,23,27,36,40,
2016-02-06,4,9,18,26,37,
2016-02-07,12,18,28,38,39,
2016-02-08,14,23,24,31,41,
2016-02-09,1,12,15,19,26,
2016-02-10,1,3,5,15,34,
