draw_date,num1,num2,num3,num4,num5,special
2025-04-08,10,16,50,60,61,17
2025-04-11,15,37,38,56,58,19
2025-04-15,6,10,13,24,63,2
2025-04-18,5,13,15,17,28,1
2025-04-22,25,39,49,52,65,22
2025-04-25,38,40,60,62,70,9
2025-04-29,16,33,40,51,57,10
2025-05-02,14,37,40,41,68,2
2025-05-06,16,17,43,46,58,16
2025-05-09,9,10,12,48,60,16
2025-05-13,6,29,33,47,68,20
2025-05-16,2,22,42,62,66,14
2025-05-20,18,30,33,55,64,11
2025-05-23,7,18,40,55,68,18
2025-05-27,6,28,34,48,62,9
2025-05-30,2,28,37,38,58,13
2025-06-03,16,24,29,36,45,13
2025-06-06,16,40,54,56,57,3
2025-06-10,10,11,14,38,45,24
2025-06-13,8,10,22,40,47,1
2025-06-17,16,23,39,46,55,12
2025-06-20,26,49,58,61,63,9
2025-06-24,10,11,18,24,60,20
2025-06-27,18,21,29,42,50,2
2025-07-01,19,28,31,39,54,5
2025-07-04,17,20,24,41,42,24
2025-07-08,4,6,38,44,62,24
2025-07-11,12,23,24,31,56,1
2025-07-15,6,10,24,35,43,1
2025-07-18,11,43,54,55,63,3
2025-07-22,22,41,42,59,69,17
2025-07-25,14,21,25,49,52,7
2025-07-29,17,30,34,63,67,11
2025-08-01,18,27,29,33,70,22
2025-08-05,12,27,42,59,65,2
2025-08-08,2,6,8,14,49,12
2025-08-12,1,8,31,56,67,23
2025-08-15,4,17,27,34,69,16
2025-08-19,10,19,24,49,68,10
2025-08-22,18,30,44,48,50,12
2025-08-26,7,12,30,40,69,17
2025-08-29,13,31,32,44,45,21
2025-09-02,7,17,35,40,64,23
2025-09-05,6,14,36,58,62,24
2025-09-09,6,43,52,64,65,22
